时间	SysStep	SysStep名	故障	急停	模式	冷媒	1#压机1	1#压机2	1#排气1	1#排气2	1#吸气1	1#吸气2	1#过热度1	1#过热度2	1#外EEV步1	1#外EEV步2	1#外EEV目1	1#外EEV目2	1#高压1	1#低压1	1#高压2	1#低压2	1#蒸发1	1#蒸发2	1#XY状态	2#压机1	2#压机2	2#排气1	2#排气2	2#吸气1	2#吸气2	2#过热度1	2#过热度2	2#外EEV步1	2#外EEV步2	2#外EEV目1	2#外EEV目2	2#高压1	2#低压1	2#高压2	2#低压2	2#蒸发1	2#蒸发2	2#XY状态	1#Y02冷凝风机A	1#Y03外风机3	1#Y04外风机2	1#Y05四通阀	2#Y02冷凝风机A	2#Y03外风机3	2#Y04外风机2	2#Y05四通阀	1#外E(K)1	1#外步数1	1#外E(K)2	1#外步数2	2#外E(K)1	2#外步数1	2#外E(K)2	2#外步数2	脉冲总数	开度上限	扫描周期	Y设定	YD	KP	TI	TD	限步	化霜开度	起始开度	目标台数	命令A1	命令A2	调度号	内目标1	内目标2	内目标3	内目标4	内目标5	内目标6	内目标7	内目标8	内当前1	内当前2	内当前3	内当前4	内当前5	内当前6	内当前7	内当前8	ON1	ON2	ON3	ON4	ON5	ON6	ON7	ON8	Y03送风机	Y04送风阀	Y06回风机	Y07回风阀	Y10排风机	Y11排风阀	Y14新风阀	新风阀需求	混风阀需求	送风机目标输出
15:46:41	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	2	11	64	87	0	0	0	0	2	11	64	87	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:46:43	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	2	11	64	87	0	0	0	0	2	11	64	87	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:46:45	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	2	10	62	87	0	0	0	0	2	10	62	87	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:46:47	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	10	62	85	0	0	0	0	0	10	62	85	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:46:49	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	8	62	85	0	0	0	0	0	8	62	85	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:46:51	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	8	61	83	0	0	0	0	0	8	61	83	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:46:53	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	8	61	83	0	0	0	0	0	8	61	83	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:46:55	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	6	59	83	0	0	0	0	0	6	59	83	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:46:57	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	6	59	82	0	0	0	0	0	6	59	82	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:46:59	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	4	59	82	0	0	0	0	0	4	59	82	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:01	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	4	58	80	0	0	0	0	0	4	58	80	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:03	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1111	706	1114	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	4	58	80	0	0	0	0	0	4	58	80	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:05	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1111	706	1114	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	2	56	80	0	0	0	0	0	2	56	80	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:07	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1111	706	1114	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	2	56	78	0	0	0	0	0	2	56	78	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:09	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1111	706	1114	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	56	78	0	0	0	0	0	0	56	78	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:11	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1111	706	1114	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	54	77	0	0	0	0	0	0	54	77	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:13	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1111	706	1114	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	54	77	0	0	0	0	0	0	54	77	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:15	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	53	77	0	0	0	0	0	0	53	77	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:17	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	53	75	0	0	0	0	0	0	53	75	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:19	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	53	75	0	0	0	0	0	0	53	75	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:21	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	51	73	0	0	0	0	0	0	51	73	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:23	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	51	73	0	0	0	0	0	0	51	73	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:25	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	50	73	0	0	0	0	0	0	50	73	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:27	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1121	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	50	72	0	0	0	0	0	0	50	72	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:29	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1121	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	50	72	0	0	0	0	0	0	50	72	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:31	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1121	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	48	70	0	0	0	0	0	0	48	70	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:33	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1121	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	48	70	0	0	0	0	0	0	48	70	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:35	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1121	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	46	70	0	0	0	0	0	0	46	70	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:37	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1121	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	46	68	0	0	0	0	0	0	46	68	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:39	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	46	68	0	0	0	0	0	0	46	68	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:41	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	45	67	0	0	0	0	0	0	45	67	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:43	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	45	67	0	0	0	0	0	0	45	67	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:45	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	43	67	0	0	0	0	0	0	43	67	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:47	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	43	65	0	0	0	0	0	0	43	65	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:49	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	43	65	0	0	0	0	0	0	43	65	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:51	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	42	63	0	0	0	0	0	0	42	63	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:53	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	42	63	0	0	0	0	0	0	42	63	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:55	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	40	63	0	0	0	0	0	0	40	63	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:57	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	40	62	0	0	0	0	0	0	40	62	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:47:59	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	40	62	0	0	0	0	0	0	40	62	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:48:01	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	38	60	0	0	0	0	0	0	38	60	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
15:48:03	2	运行	0	0	制冷	R410A	2	2	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	4095	2	2	228	281	124	122	-14	-16	0	0	0	0	703	1112	706	1113	138	138	4095	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	4	1	1	99	0	0	38	60	0	0	0	0	0	0	38	60	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1000	0	1
